id,Title,Date,Permalink,"Research Topics","Press Types",Categories
3654,"Dennis Lehmkuhl Shares the History of Einstein's Discoveries at CIERA Fall Interdisciplinary Colloquium",11/13/2015,https://ciera.northwestern.edu/2015/11/13/dennis-lehmkuhl-shares-the-history-of-einsteins-discoveries-at-ciera-fall-interdisciplinary-colloquium/,"Gravitational Waves &amp; Multi-Messenger Astronomy","CIERA Stories",Event|Interdisciplinary
3659,"Stargazing with Local Dads and Daughters Outdoors Group",11/11/2015,https://ciera.northwestern.edu/2015/11/11/stargazing-with-local-dads-and-daughters-outdoors-group/,,"CIERA Stories",Education|Event|Outreach
3661,"CIERA's Michelle Paulsen and Katie Breivik Meet U.S. Congressman Bob Dold",11/10/2015,https://ciera.northwestern.edu/2015/11/10/cieras-michelle-paulsen-and-katie-breivik-meet-u-s-congressman-bob-dold/,,"CIERA Stories",Event
3663,"CIERA Seventh Annual Public Lecture: New Horizons Leader Alan Stern",11/03/2015,https://ciera.northwestern.edu/2015/11/03/ciera-seventh-annual-public-lecture-new-horizons-leader-alan-stern/,"Exoplanets &amp; The Solar System","CIERA Stories",Education|Event|Outreach
3717,"CIERA’s Erin Cox Wins NRAO Dissertation Award",02/22/2019,https://ciera.northwestern.edu/2019/02/22/cieras-erin-cox-wins-nrao-dissertation-award/,"Exoplanets &amp; The Solar System|Life &amp; Death of Stars","External Press",Achievement
3724,"CIERA Professor Wen-Fai Fong Interviewed by Science News",02/25/2019,https://ciera.northwestern.edu/2019/02/25/ciera-professor-wen-fai-fong-interviewed-by-science-news/,"Gravitational Waves &amp; Multi-Messenger Astronomy","External Press",Achievement
3732,"CIERA Director Elected to LSSTC ExecBoard",11/01/2015,https://ciera.northwestern.edu/2015/11/01/ciera-director-elected-to-lsstc-execboard/,,"CIERA Stories",Achievement
3735,"CIERA Summer Research Student Continues to Communicate Work",10/31/2015,https://ciera.northwestern.edu/2015/10/31/ciera-summer-research-student-continues-to-communicate-work/,"Galaxies &amp; Cosmology","CIERA Stories",Education|Event
3737,"Dearborn Observatory Featured in Open House Chicago 2015",10/25/2015,https://ciera.northwestern.edu/2015/10/25/dearborn-observatory-featured-in-open-house-chicago-2015/,,"External Press",Event
3739,"CIERA Director Awarded Prestigious APS 2016 Bethe Prize",10/20/2015,https://ciera.northwestern.edu/2015/10/20/ciera-director-awarded-prestigious-aps-2016-bethe-prize/,"Gravitational Waves &amp; Multi-Messenger Astronomy","CIERA Stories|External Press|Northwestern Press",Achievement
3741,"CIERA’s Shane Larson Elected APS Fellow",10/15/2015,https://ciera.northwestern.edu/2015/10/15/cieras-shane-larson-elected-aps-fellow/,,"CIERA Stories",Achievement
3743,"2015 Midwest Relativity Meeting Hosted by CIERA",10/05/2015,https://ciera.northwestern.edu/2015/10/05/2015-midwest-relativity-meeting-hosted-by-ciera/,"Gravitational Waves &amp; Multi-Messenger Astronomy","CIERA Stories",Education|Event
3746,"CIERA Total Lunar Eclipse Party Helped Hundreds to Experience, Understand Rare Event",09/30/2015,https://ciera.northwestern.edu/2015/09/30/ciera-total-lunar-eclipse-party-helped-hundreds-to-experience-understand-rare-event/,,"CIERA Stories",Education|Event|Outreach
3755,"CIERA Graduate Students Speak at Local High School’s Women in STEM Event",11/25/2015,https://ciera.northwestern.edu/2015/11/25/ciera-graduate-students-speak-at-local-high-schools-women-in-stem-event/,,"CIERA Stories",Education|Event|Outreach
3757,"CIERA Director Vicky Kalogera to Join National Committee on Astronomy and Astrophysics",11/22/2015,https://ciera.northwestern.edu/2015/11/22/ciera-director-vicky-kalogera-to-join-national-committee-on-astronomy-and-astrophysics/,"Stellar Dynamics &amp; Stellar Populations","CIERA Stories",Achievement
3758,"Boy Scouts and their Families visit Dearborn Observatory as part of NU Athletics STEM & Sports Day",09/13/2015,https://ciera.northwestern.edu/2015/09/13/boy-scouts-and-their-families-visit-dearborn-observatory-as-part-of-nu-athletics-stem-sports-day/,,"CIERA Stories",Education|Event|Outreach
3760,"CIERA Presentations at RSG Seven Minutes of Science: An Interdisciplinary Symposium",09/12/2015,https://ciera.northwestern.edu/2015/09/12/ciera-presentations-at-rsg-seven-minutes-of-science-an-interdisciplinary-symposium/,,"CIERA Stories",Education|Event
3784,"CIERA's 2015 Summer Student Researchers",08/31/2015,https://ciera.northwestern.edu/2015/08/31/cieras-2015-summer-student-researchers/,,"CIERA Stories",Education
3787,"CIERA Director Vicky Kalogera Speaks to Office for Research Staff",08/30/2015,https://ciera.northwestern.edu/2015/08/30/ciera-director-vicky-kalogera-speaks-to-office-for-research-staff/,,"CIERA Stories",Event
